id_plot,pub_year,cite,id_reference,forest_type,species,site_original,treatment_original,lat,long,elev,aspect_value,aspect_unit,slope,slope_units,density_tree_ha_mean,density_tree_ha_sd,dbh_cm_mean,dbh_cm_sd,height_m_mean,height_m_se,basal_area_m2_ha_mean,basal_area_m2_ha_sd,n_trees,n_cores,time_start,time_end,time_start_best_replicated,time_years,time_years_sd,time_years_replicated_more5,rw_mm_mean,rw_mm_sd,,,,,,
1,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus sylvestris,Nevada A,Control,37.049400,-3.051800,2036,S,cardinal,30,percentage,1752,,21.97,0.7,12.06,0.2,43.96,,15,30,1977,2020,,44,,,2.42,0.05,,,,,,
2,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus sylvestris,Nevada A,Moderate Thining (50% Basal Area),37.049200,-3.052700,2025,S,cardinal,20,percentage,1051,,21.3,0.6,11.24,0.2,20.66,,15,30,1977,2020,,44,,,2.23,0.08,,,,,,
3,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus sylvestris,Nevada A,Heavy Thining (70% Basal Area),37.049300,-3.050800,2031,S-SW,cardinal,20,percentage,526,,18.17,0.5,9.09,0.3,9.02,,15,30,1977,2020,,44,,,2.32,0.05,,,,,,
4,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus nigra,Nevada B,Control,37.042100,-3.055600,1888,S,cardinal,20,percentage,1610,,16.5,0.5,7.79,0.2,26.51,,15,30,1987,2020,,34,,,2.3,0.08,,,,,,
5,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus nigra,Nevada B,Moderate Thining (50% Basal Area),37.037300,-3.044400,1793,S-SW,cardinal,20,percentage,966,,18.63,0.8,8.77,0.2,16.9,,15,30,1987,2020,,34,,,2.41,0.06,,,,,,
6,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus nigra,Nevada B,Heavy Thining (70% Basal Area),37.038000,-3.045400,1810,S,cardinal,25,percentage,483,,18.75,0.6,8.97,0.2,10.27,,15,30,1987,2020,,34,,,2.55,0.08,,,,,,
7,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus halepensis,Dilar M,Control,37.048500,-3.566200,1256,W,cardinal,20,percentage,992,,24.04,1.4,13.17,0.7,28.5,,15,30,1957,2020,,64,,,1.93,0.09,,,,,,
8,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus halepensis,Dilar M,Moderate Thining (30% Basal Area),37.047800,-3.566600,1263,W,cardinal,30,percentage,694,,25.18,1.5,12.27,0.5,21.86,,15,30,1960,2020,,61,,,2.06,0.11,,,,,,
9,2023,Navarro-Cerrillo et al. (2023),NavarroCerrilloetal2023DevelopingAlternatives,afforestation,Pinus halepensis,Dilar M,Heavy Thining (50% Basal Area),37.047500,-3.565100,1301,NW,cardinal,35,percentage,496,,26.8,0.8,12.11,0.4,17.72,,15,30,1960,2020,,61,,,2.1,0.07,,,,,,
10,2021,Pérez-Luque et al. (2021),PerezLuqueetal2021LanduseLegacies,natural forest,Quercus pyrenaica,CA-High,,36.96612893,-3.420702668,1865,,,12.11,degrees,348,147.1,69.8,20.5,15.4,1.8,39.13,24.31,15,30,1836,2016,,181,,164,1.253,0.781,,,,,,
11,2021,Pérez-Luque et al. (2021),PerezLuqueetal2021LanduseLegacies,natural forest,Quercus pyrenaica,CA-Low,,36.95644915,-3.42410719,1721,,,12.86,degrees,409.6,226,45.9,8.6,12.6,1.6,18.02,7.11,15,30,1819,2016,,198,,188,1.5,0.879,,,,,,
12,2021,Pérez-Luque et al. (2021),PerezLuqueetal2021LanduseLegacies,natural forest,Quercus pyrenaica,SJ,,37.13121285,-3.374908239,1354,,,27.33,degrees,339,130.3,31.9,3.7,11.8,2.3,11.64,5.47,20,48,1921,2016,,96,,90,1.725,1.207,,,,,,
13,2014,Gea-Izquierdo et al. (2014),GeaIzquierdoCanellas2014LocalClimate,natural forest,Quercus pyrenaica,QUPY9,,37.1,-3.4,1255,,,,,65,,33.9,6.7,11.5,2.1,,,16,33,1933,2008,,101,,77,2.2,1.168,,,,,,
14,2014,Gea-Izquierdo et al. (2014),GeaIzquierdoCanellas2014LocalClimate,natural forest,Quercus pyrenaica,QUPY10,,37,-3.4,1525,,,,,90,,43.6,12,11.6,1.6,,,20,37,1859,2008,,197,,150,1.5,0.879,,,,,,
15,2024,Camarero et al. (2024),Camareroetal2024WateringTrees,afforestation,Pinus sylvestris,Acequia Nueva (PS),Ditch (AC),36.95,-3.413000,1730,,,,,,,41.7,2.2,,,,,10,20,1963,2023,1968,55,,,3.05,0.2,,,,,,
16,2024,Camarero et al. (2024),Camareroetal2024WateringTrees,afforestation,Pinus sylvestris,Castillejo (CP),Control (C) ,36.95,-3.414000,1845,,,,,,,35.2,1,,,,,10,20,1965,2023,1969,54,,,3.19,0.24,,,,,,
17,2024,Camarero et al. (2024),Camareroetal2024WateringTrees,natural forest,Quercus pyrenaica,Acequia nueva (AN),Ditch (AC),36.952,-3.413000,1695,,,,,,,44.6,1.4,,,,,10,20,1943,2023,1948,75,,,2.66,0.21,,,,,,
18,2024,Camarero et al. (2024),Camareroetal2024WateringTrees,natural forest,Quercus pyrenaica,Control- Acequia Nueva (CN),Control (C) ,36.956,-3.417000,1541,,,,,,,340,2.3,,,,,10,20,1912,2023,1943,80,,,1.65,0.25,,,,,,
19,2024,Camarero et al. (2024),Camareroetal2024WateringTrees,natural forest,Quercus pyrenaica,Acequia Grande (AG),Ditch (AC),36.954,-3.432000,1715,,,,,,,49.2,2.5,,,,,10,20,1780,2023,1890,133,,,1.17,0.15,,,,,,
20,2024,Camarero et al. (2024),Camareroetal2024WateringTrees,natural forest,Quercus pyrenaica,Control-Acequia Grande (CG),Control (C) ,36.955,-3.433000,1752,,,,,,,51.1,2.7,,,,,10,20,1823,2023,1902,121,,,0.96,0.07,,,,,,
21,2018,Rubio-Cuadrado et al. (2018),RubioCuadradoetal2018AbioticFactors,afforestation,Pinus sylvestris,ALD,Planted pine,37.12861111,-3.048333333,1953,226,degree,17,degrees,686,76,20.3,0.9,,,24.1,2.8,49,98,1965,2015,,50,1,,,,,,,,,
22,2018,Rubio-Cuadrado et al. (2018),RubioCuadradoetal2018AbioticFactors,natural forest,Quercus pyrenaica,SJE,Pure oak,37.09666667,-3.437777778,1726,306,degree,26.5,degrees,712,278,21.9,2.2,,,30.5,13.4,22,44,1891,2015,,64,11,,,,,,,,,
23,2018,Rubio-Cuadrado et al. (2018),RubioCuadradoetal2018AbioticFactors,natural forest,Pinus sylvestris nevadensis,SJE,Natural pine,37.09638889,-3.459444444,1720,43,degree,21.4,degrees,375,322,35.3,21.5,,,22.3,53.4,7,14,1850,2015,,98,56,,,,,,,,,
24,2018,Rubio-Cuadrado et al. (2018),RubioCuadradoetal2018AbioticFactors,afforestation,Pinus sylvestris,SJE,Planted pine,37.10583333,-3.430277778,1895,248,degree,20.1,degrees,771,142,20.8,1.7,,,28.9,5,26,52,1967,2015,,48,1,,,,,,,,,
25,2018,Rubio-Cuadrado et al. (2018),RubioCuadradoetal2018AbioticFactors,afforestation,Pinus sylvestris,JER,Planted pine,37.16472222,-3.213333333,1850,127,degree,17.2,degrees,796,118,21.8,1.1,,,33.1,5.1,29,58,1969,2015,,46,1,,,,,,,,,
26,2018,Rubio-Cuadrado et al. (2018),RubioCuadradoetal2018AbioticFactors,afforestation,Pinus sylvestris,CAN,Planted pine,36.97083333,-3.4125,1896,153,degree,19,degrees,775,151,24.3,1.6,,,39.6,7.6,31,62,1942,2015,,73,1,,,,,,,,,
27,2025,Pérez-Luque et al. (2025),,afforestation,Pinus halepensis,HAL low,,37.1101,-2.69854,974,0.1,degree,24.4,degrees,1717.5638,,9.267073,2.609612,4.697561,0.9781329,12.48104,,41,,1980,2022,,,,,1.21,1.12,,,,,,
28,2025,Pérez-Luque et al. (2025),,afforestation,Pinus halepensis,HAL medium,,37.08871178,-2.68648579,1212,12.5,degree,12.9,degrees,1244.0229,,14.902895,3.462048,7.121053,1.0073132,22.84025,,38,,1977,2018,,,,,2.06,1.45,,,,,,
29,2025,Pérez-Luque et al. (2025),,afforestation,Pinus halepensis,HAL high,,37.16982,-3.05232,1359,47.8,degree,23.3,degrees,993.1816,,17.68125,4.071078,7.9825,0.970035,25.64672,,40,,1959,2022,,,,,1.05,1.02,,,,,,
30,2025,Pérez-Luque et al. (2025),,afforestation,Pinus pinaster,NIG low,,37.14837,-3.14652,1585,349.1,degree,5.6,degrees,716.9391,,20.2575,3.210211,8.57,0.7236659,23.67279,,41,,1952,2021,,,,,1.11,1.37,,,,,,
31,2025,Pérez-Luque et al. (2025),,afforestation,Pinus pinaster,NIG medium,,37.14335689,-3.149016806,1646,282.9,degree,14.5,degrees,1529.7718,,13.968462,3.50079,6.624615,0.818988,24.87775,,37,,1960,2021,,,,,1.09,1.09,,,,,,
32,2025,Pérez-Luque et al. (2025),,afforestation,Pinus pinaster,NIG high,,37.132,-3.147,1810,295.6,degree,16.8,degrees,1678.7501,,16.702439,5.688914,6.770732,1.4025412,40.94507,,33,,1959,2017,,,,,2.37,2.37,,,,,,
33,2025,Pérez-Luque et al. (2025),,afforestation,Pinus pinaster,PIN low,,37.18253,-3.17767,1353,350.4,degree,12.3,degrees,966.1297,,20.960976,5.93348,7.619512,1.14591,35.94495,,41,,1983,2020,,,,,2.25,2.32,,,,,,
34,2025,Pérez-Luque et al. (2025),,afforestation,Pinus nigra,PIN low-Dec,,37.15454,-3.13756,1433,41.9,degree,21.5,degrees,800.9714,,18.206216,4.59378,6.721622,0.950478,22.14359,,40,,1964,2021,,,,,1.49,1.36,,,,,,
35,2025,Pérez-Luque et al. (2025),,afforestation,Pinus nigra,PIN medium,,37.16089188,-3.196805229,1605,154.3,degree,15.2,degrees,878.2639,,28.084848,6.229673,12.860606,1.6340019,57.0034,,39,,1959,2017,,,,,1.38,1.27,,,,,,
36,2025,Pérez-Luque et al. (2025),,afforestation,Pinus nigra,PIN high,,37.135,-3.198,1776,73.4,degree,14.3,degrees,1604.968,,21.631707,6.178934,9.521951,1.2871504,63.67975,,41,,1969,2020,,,,,1.4,1.16,,,,,,
37,2025,Pérez-Luque et al. (2025),,afforestation,Pinus sylvestris,SYL low,,36.95606649,-3.300930006,1633,140.5,degree,15.5,degrees,739.8374,,20.748649,3.538724,10.471622,1.2192063,25.72328,,37,,1963,2018,,,,,1.91,1.59,,,,,,
38,2025,Pérez-Luque et al. (2025),,afforestation,Pinus sylvestris,SYL medium,,36.96001702,-3.303607785,1748,210.6,degree,21.9,degrees,1691.0694,,18.781395,5.751863,12.233721,1.9979371,51.14162,,47,,1965,2018,,,,,1.84,1.44,,,,,,
39,2025,Pérez-Luque et al. (2025),,afforestation,Pinus sylvestris,SYL high,,36.96597767,-3.313213995,2000,161.7,degree,14.8,degrees,1372.2347,,22.4,5.296392,11.771429,2.0244929,57.01412,,35,,1969,2018,,,,,2.34,1.49,,,,,,
40,2018,García-Cervigón et al. (2018),GarciaCervigonetal2018GrowthDelay,natural shrublands,Juniperus sabina,Sierra Nevada,,37.083333,-3.366667,2876,,,,,,,,,,,,,17,27,1870,2010,,109,,,0.318,,,,,,,
41,2018,Caminero et al. (2018),Camineroetal2018GrowthResponses,afforestation,Pinus pinaster,PITR (Trevenque),,37.09,-3.48,1780,SW,cardinal,20,degrees,,,71.6,11.3,,,,,30,,1873,2013,,123,13,,1.22,0.59,,,,,,
42,,Pérez-Luque et al. (unpublished),,natural forest,Quercus ilex,FIN_QILEX_LOW,,37.14268962,-2.88891928,1541,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
43,,Pérez-Luque et al. (unpublished),,natural forest,Quercus ilex,ABRUCENA,,37.12967906,-2.891087462,1811,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
44,,Pérez-Luque et al. (unpublished),,natural forest,Quercus pyrenaica,CAN_LOW_QPYR,,36.95328164,-3.429063055,1729,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
45,,Pérez-Luque et al. (unpublished),,natural forest,Quercus pyrenaica,CAN_HIGH_QPYR,,36.9603081,-3.431626902,1897,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
46,,Pérez-Luque et al. (unpublished),,natural forest,Quercus pyrenaica/ilex,POR_X_QUERCUS,,36.95475714,-3.315154255,1669,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,
